Pais,Profit Colombia,Descripcion,,,,,,,,,,
Colombia,1.Jaulas: idem Tati ,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",,,,,,,,,
Colombia,2. Pre-entrega de la jaula: idem retiro normal,Pre-delivery of the crate in [ORIGEN].,Pre-entrega de la jaula en [ORIGEN].,,,,,,,,,
Colombia,3. RNATT: idem Tati + USD 50,Microchip implantation and Rabies Neutralising Rabies Titre Test.,Implantación de microchip y prueba de titulación de anticuerpos neutralizantes de la rabia,,,,,,,,,
Colombia,4.Vet fees: idem Tati + USD 25 ,"Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",,,,,,,,,
Colombia,5. Certificado internacional de viaje: USD190 x 1 mascota USD 290 por 2 mascotas y USD 390 por 3 mascotas,"All legal paperwork to enter the pet(s) from Colombia into [destino]
Includes:
 - International health certificate endorsed by ICA
",Todo el papeleo legal para ingresar la(s) mascota(s) de Colombia al [destino] incluye:  - Certificado de salud internacional avalado por el ICA,,,,,,,,,
Colombia,6. Retiro: USD 200 ( 1 mascota en jaula grande o 2 chiquitas),Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,,,,,,,,,
Colombia,7. Tender: USD 120 siempre,"Tender to the airline at [codigo aeropuerto] airport
",Entrega a la aerolínea en el aeropuerto [código aeropuerto],,,,,,,,,
Colombia,8. Flete: + USD 650 retail y USA + USD 750 si es agente.,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees 
and taxes charged by the airline and by the official offices as well, such as Customs, ICA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas e ICA. Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",,,,,,,,,
Colombia,LATAM fees USD 350 siempre,,,,,,,,,,,
Colombia,,,,,,,,,,,,
Colombia,"FWD a MDE, CLO, BAQ, PEI, AXM etc USD780 X 1 mascota, USD 880 X 2 mascotas y USD 980 x 3 mascotas  (INCLUYE HOME DELIVERY)",,,,,,,,,,,
Colombia,Hospedaje: USD 50 por perro x día y USD 40 por gato x día.  Si es solo una dia perro 80 gato 60 ,,,,,,,,,,,
,,,,,,,,,,,,
,Profit Ecuador,,,,,,,,,,, 
Ecuador,1.Jaulas: idem Tati ,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",,,,,,,,,
Ecuador,2. Pre-entrega de la jaula: idem retiro normal,Pre-delivery of the crate in [ORIGEN].,Pre-entrega de la jaula en [ORIGEN].,,,,,,,,,
Ecuador,3. RNATT: idem Tati +USD 50,Microchip implantation and Rabies Neutralising Rabies Titre Test.,Implantación de microchip y prueba de titulación de anticuerpos neutralizantes de la rabia,,,,,,,,,
Ecuador,4.Vet fees: idem Tati +USD 25,"Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",,,,,,,,,
Ecuador,5. Certificado internacional de viaje: USD220 x 1 mascota USD 280 por 2 mascotas y USD 340 por 3 mascotas,"All legal paperwork to enter the pet(s) from Ecuador into [destino]
Includes:
 - International health certificate issued by Agrocalidad.
","Toda la documentación legal para ingresar la(s) mascota(s) desde Ecuador a [destino]
Incluye:  
- Certificado sanitario internacional emitido por Agrocalidad.",,,,,,,,,
Ecuador,6. Retiro: USD 200 ( 1 mascota en jaula grande o 2 chiquitas),Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,,,,,,,,,
Ecuador,7. Tender: USD 120 siempre,"Tender to the airline at [codigo aeropuerto] airport
",Entrega a la aerolínea en el aeropuerto [código aeropuerto],,,,,,,,,
Ecuador,8. Flete: + USD 650 retail y USA + USD 750 si es agente.,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees 
and taxes charged by the airline and by the official offices as well, such as Customs, health authorities.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas e autoridades sanitarias. 
Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",,,,,,,,,
Ecuador,LATAM fees USD 350 siempre,,,,,,,,,,,
Ecuador,,,,,,,,,,,,
Ecuador,"FWD a GYE, CUE  etc USD780 X 1 mascota, USD 880 X 2 mascotas y USD 980 x 3 mascotas",,,,,,,,,,,
Ecuador,Hospedaje: USD 50 por perro x día y USD 40 por gato x día.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Profit Brasil,,,,,,,,,,,
Brasil,1.Jaulas: idem Aline,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",,,,,,,,,
Brasil,2. Pre-entrega de la jaula: idem retiro normal,Pre-delivery of the crate in [ORIGEN].,Pre-entrega de la jaula en [ORIGEN].,,,,,,,,,
Brasil,3. RNATT: idem Aline +USD 100,Microchip implantation and Rabies Neutralising Rabies Titre Test.,Implantación de microchip y prueba de titulación de anticuerpos neutralizantes de la rabia,,,,,,,,,
Brasil,"4.Vet fees: USD250 x 1 mascota, USD 350 x 2 mascotas y USD 450 por 3 mascotas","Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",,,,,,,,,
Brasil,5. Certificado internacional de viaje: →→ A EU/Sudamérica USD450 x 1 mascota USD 530 por 2 mascotas y USD 610 por 3 mascotas. ,"All legal paperwork issued in MAPA to enter the pet(s) from Brazil into [destino]
Includes:
 - International health certificate issued by MAPA
","Todo el papeleo legal para ingresar la(s) mascota(s) de Brasil al [destino] incluye:  
- Certificado de salud internacional emitido por MAPA",,,,,,,,,
Brasil,                                                                  →→A UK/USA USD600 x 1 mascota USD 680 por 2 mascotas y USD 760 por 3 mascotas.,,,,,,,,,,,
Brasil,6. Retiro: USD 200 ( 1 mascota en jaula grande o 2 chiquitas/medianas) en Sao Paulo y USD 210 en Rio de Janeiro,Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,,,,,,,,,
Brasil,7. Tender: USD 120 siempre,"Tender to the airline at [codigo aeropuerto] airport
",Entrega a la aerolínea en el aeropuerto [código aeropuerto],,,,,,,,,
Brasil,"8. Export Customs clearance: USD 480 hasta 2 mascotas, USD 580 x 3 mascotas.","Includes our charges, our customs agent's charges and MAPA´s fees.","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los honorarios de MAPA.",,,,,,,,,
